accession,subtype,host,host_source,country,collection_date,isolation_source,seq_technology,st_confidence,seq_length,cluster_top,cluster_subtype,cluster_variant,st_status,human_report,st_note,dist_from_medoid,potential_novel_variant,novel_variant_reason
MN264513.1,ST3,Canis lupus familiaris,Unknown,Iran,Jul-2017,feces,Sanger,low,2840,38,57,81,accepted,True,Most prevalent globally; IBS-D association,0.036353807649813344,False,
MN264509.1,ST4,Rattus norvegicus,host_qualifier,Iran,Jul-2017,feces,Sanger,low,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.012836499164451048,False,
MK418918.1,ST2,fecal,Unknown,China,10-Nov-2017,Macaca mulattas,Unknown,medium,2840,52,93,199,accepted,True,Common in humans; urticaria association,0.0194342857392297,False,
MK418917.1,ST1,fecal,Unknown,China,10-Nov-2017,Macaca mulattas,Unknown,medium,2840,59,106,217,accepted,True,Most prevalent globally; IBS association,0.02305560763432372,False,
MK418916.1,ST1,fecal,Unknown,China,10-Nov-2017,Macaca mulattas,Unknown,medium,2840,59,107,229,accepted,True,Most prevalent globally; IBS association,0.025094344873406754,False,
MK418915.1,ST1,fecal,host_qualifier,China,10-Nov-2017,Macaca mulattas,Unknown,low,2840,59,107,235,accepted,True,Most prevalent globally; IBS association,0.031275546899207925,False,
MK418914.1,ST3,fecal,host_qualifier,China,10-Nov-2017,Macaca mulattas,Unknown,low,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.03511694748995141,False,
MG214885.1,ST3,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,medium,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0012981396577078635,False,
MG214884.1,ST1,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.025426163756761003,False,
MG214883.1,ST3,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,low,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.006513284530151032,False,
MG214882.1,ST1,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
MG214880.1,ST2,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0025073153314311026,False,
MG214879.1,ST3,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,medium,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,-0.0,False,
MG214878.1,ST1,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.004010704744946431,False,
MG214877.1,ST3,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.002598530100517707,False,
MG214876.1,ST3,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,low,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.005206094656755679,False,
MG214875.1,ST3,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,medium,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0012998270151261394,False,
MG214874.1,ST3,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.0026019106755084823,False,
MG214872.1,ST3,Homo sapiens,host_qualifier,Poland,Unknown,stool,Sanger,medium,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0012981396577078635,False,
MH104999.1,ST1,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Sanger,medium,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
MH104998.1,ST2,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.006968691250574645,False,
MH104997.1,ST2,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0023818995804136497,False,
MH104996.1,ST2,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0025010444185899552,False,
MH104995.1,ST1,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0019769368942424404,False,
MH104994.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.01152391429804219,False,
MH104993.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.014054925787925315,False,
MH104992.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.01152391429804219,False,
MH104991.1,ST2,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Sanger,medium,2840,52,93,196,accepted,True,Common in humans; urticaria association,0.0012684992453070648,False,
MH104990.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.005302717626584771,False,
MH104989.1,ST3,Canis lupus familiaris,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,38,59,106,accepted,True,Most prevalent globally; IBS-D association,0.02085277677828971,False,
MH104986.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,148,accepted,True,Non-human primates; occasional in humans,0.011583241820605224,False,
MH104985.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,150,accepted,True,Non-human primates; occasional in humans,0.007717109886307829,False,
MH104984.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,146,accepted,True,Non-human primates; occasional in humans,0.008662271459454637,False,
MH104982.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,77,134,accepted,True,Non-human primates; occasional in humans,0.035474592576929594,True,minority cluster (77)
MH104981.1,ST1,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,medium,2840,59,108,240,accepted,True,Most prevalent globally; IBS association,0.004961976418709945,False,
MH104980.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,78,136,accepted,True,Non-human primates; occasional in humans,0.011583241820605224,True,minority cluster (78)
MH104979.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,80,168,accepted,True,Non-human primates; occasional in humans,0.03144908811254945,True,minority cluster (80)
MH104978.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,78,137,accepted,True,Non-human primates; occasional in humans,0.012580940162160575,True,minority cluster (78)
MH104977.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,150,accepted,True,Non-human primates; occasional in humans,0.006761153322161571,False,
MH104976.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,166,accepted,True,Non-human primates; occasional in humans,0.011605647436948023,False,
MH104975.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,146,accepted,True,Non-human primates; occasional in humans,0.006722196089773588,False,
MH104974.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,140,accepted,True,Non-human primates; occasional in humans,0.009658858543736843,False,
MH104972.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,147,accepted,True,Non-human primates; occasional in humans,0.007680067109919525,False,
MH104971.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,146,accepted,True,Non-human primates; occasional in humans,0.01159443380416067,False,
MH104970.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,146,accepted,True,Non-human primates; occasional in humans,0.010590676619974843,False,
MH104969.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,167,accepted,True,Non-human primates; occasional in humans,0.015424708186107729,False,
MH104968.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,low,2840,46,79,160,accepted,True,Non-human primates; occasional in humans,0.01159443380416067,False,
MH104967.1,ST26,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,low,2840,43,70,125,accepted,False,Cattle (USA); dominant in several US states,0.013838942883184643,True,minority cluster (70)
MH104966.1,ST26,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,medium,2840,43,67,118,accepted,False,Cattle (USA); dominant in several US states,0.004898776397411343,True,minority cluster (67)
MH104964.1,ST26,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,low,2840,43,72,127,accepted,False,Cattle (USA); dominant in several US states,0.02719331101696819,True,minority cluster (72)
MH104962.1,ST10,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,low,2840,31,46,66,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.022223848204778338,True,minority cluster (46)
MH104961.1,ST21,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,low,2840,47,82,170,accepted,False,Avian; accepted after full-length validation,0.022141829449741295,True,d_medoid=0.0221 > 0.0200; minority cluster (82)
MH104960.1,ST26,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,medium,2840,43,67,119,accepted,False,Cattle (USA); dominant in several US states,0.011846248253617032,True,minority cluster (67)
MH104959.1,ST10,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,medium,2840,31,45,64,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.022196441183096376,True,minority cluster (45)
MH104958.1,ST10,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,low,2840,31,45,65,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.019673259111652318,True,minority cluster (45)
MH104957.1,ST21,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,low,2840,47,82,171,accepted,False,Avian; accepted after full-length validation,0.020403112924803547,True,d_medoid=0.0204 > 0.0200; minority cluster (82)
MH104956.1,ST26,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,low,2840,43,68,123,accepted,False,Cattle (USA); dominant in several US states,0.014778803309499332,False,
MH104955.1,ST26,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,low,2840,43,67,120,accepted,False,Cattle (USA); dominant in several US states,0.010777455212214506,True,minority cluster (67)
MH104953.1,ST12,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,low,2840,47,82,172,accepted,True,Non-human primates; occasional in humans,0.08869794037030068,True,d_medoid=0.0887 > 0.0621; minority cluster (82)
MH104952.1,ST26,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,low,2840,43,69,124,accepted,False,Cattle (USA); dominant in several US states,0.020731823460003535,True,minority cluster (69)
MF774612.1,ST9,Homo sapiens,host_qualifier,Iran,Unknown,Feces,Sanger,low,2840,12,14,19,accepted,True,Human-specific; rare,0.0058309331603475295,False,
MG333456.1,ST12,Homo sapiens,host_qualifier,Unknown,Unknown,stool,Sanger,low,2840,46,79,155,accepted,True,Non-human primates; occasional in humans,0.0067742396031281234,False,
MG333455.1,ST12,Homo sapiens,host_qualifier,Unknown,Unknown,stool,Sanger,low,2840,46,79,155,accepted,True,Non-human primates; occasional in humans,0.009696321221551884,False,
MG333454.1,ST12,Homo sapiens,host_qualifier,Unknown,Unknown,stool,Sanger,low,2840,46,79,155,accepted,True,Non-human primates; occasional in humans,0.008721028496339324,False,
MG333452.1,ST12,Homo sapiens,host_qualifier,Unknown,Unknown,stool,Sanger,low,2840,46,79,150,accepted,True,Non-human primates; occasional in humans,0.010672883859525585,False,
AB107973.1,ST7,Anser cygnoides,Unknown,Japan: Osaka,Unknown,Unknown,Unknown,medium,2840,16,19,25,accepted,True,Primarily birds/poultry,0.05207411988516306,True,d_medoid=0.0521 > 0.0450; minority cluster (19)
AB107972.1,ST6,Bambusicola thoracica,Unknown,Japan: Osaka,Unknown,Unknown,Unknown,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.002997006985036482,False,
AB107971.1,ST8,Argusianus argus,Unknown,Japan: Osaka,Unknown,Unknown,Unknown,low,2840,34,51,71,accepted,True,Non-human primates; rare in humans,0.0006709908745474397,False,
AB107970.1,ST8,Varecia variegata,Unknown,Japan: Osaka,Unknown,Unknown,Unknown,low,2840,34,51,71,accepted,True,Non-human primates; rare in humans,0.0013425825916864877,False,
AB107969.1,ST2,Macaca nemestrina,Unknown,Japan: Osaka,Unknown,Unknown,Unknown,medium,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0019710918047021017,False,
AB107968.1,ST1,Cercopithecus aethiops,Unknown,Japan: Osaka,Unknown,Unknown,Unknown,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
AB107967.1,ST1,Pongo pygmaeus,Unknown,Japan: Osaka,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AB107966.1,ST5,Bos taurus,Unknown,Japan: Osaka,Unknown,Cattle,Unknown,high,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0005607476896729656,False,
AB107965.1,ST3,Bos taurus,Unknown,Japan: Osaka,Unknown,Cattle,Unknown,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,-0.0,False,
AB107964.1,ST5,Sus scrofa,isolation_source,Japan: Osaka,Unknown,Pig,Unknown,high,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,-0.0,False,
AB107963.1,ST3,Sus scrofa,isolation_source,Japan: Osaka,Unknown,Pig,Unknown,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0007966012432375673,False,
AB107962.1,ST1,Homo sapiens,Unknown,Japan: Osaka,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AB107961.1,ST1,Sus scrofa,isolation_source,Japan: Osaka,Unknown,Pig,Unknown,medium,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.02405015684749689,False,
KT438718.1,ST35,Boa constrictor,Unknown,Japan,24-May-2012,Boa constrictor,Sanger,low,2840,10,10,12,accepted,True,Human isolate 168; Nanopore full-length validated,0.0015424169960697078,False,
KT438717.1,ST35,Morelia viridis,Unknown,Japan,16-Jan-2013,Morelia viridis,Sanger,low,2840,10,10,12,accepted,True,Human isolate 168; Nanopore full-length validated,-0.0,False,
KT438716.1,ST35,Morelia viridis,Unknown,Japan,15-Sep-2013,Morelia viridis,Sanger,low,2840,10,10,12,accepted,True,Human isolate 168; Nanopore full-length validated,0.0030896027214291277,False,
KT438703.1,ST9,Homo sapiens,host_qualifier,Japan,06-Jun-2005,Unknown,Sanger,medium,2840,12,14,18,accepted,True,Human-specific; rare,0.0077412358560399065,False,
KR262953.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,56,100,208,accepted,True,Common in humans; urticaria association,0.0353006331434893,True,minority cluster (100)
KR262952.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,106,215,accepted,True,Most prevalent globally; IBS association,0.02711138558723332,False,
KR262951.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,227,accepted,True,Most prevalent globally; IBS association,0.028134578106093912,False,
KR262950.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,high,2840,52,93,200,accepted,True,Common in humans; urticaria association,0.01509484914701881,False,
KR262949.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0037082893840980585,False,
KR262948.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.030185160381445017,False,
KR262947.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,52,93,197,accepted,True,Common in humans; urticaria association,0.01241750219583574,False,
KR262946.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,56,100,208,accepted,True,Common in humans; urticaria association,0.0353452023818142,True,minority cluster (100)
KR262944.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.006183052331311549,False,
KR262943.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,107,227,accepted,True,Most prevalent globally; IBS association,0.030185160381445017,False,
KR262942.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.006183052331311549,False,
KR262941.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,108,243,accepted,True,Most prevalent globally; IBS association,0.008928676879738735,False,
KR262940.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,57,102,210,accepted,True,Common in humans; urticaria association,0.05624440242259207,True,d_medoid=0.0562 > 0.0523; minority cluster (102)
KR262939.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,115,256,accepted,True,Most prevalent globally; IBS association,0.04679483574706912,False,
KR262938.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.006183052331311549,False,
KR262937.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,high,2840,59,107,229,accepted,True,Most prevalent globally; IBS association,0.02303251761402947,False,
KR262936.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,229,accepted,True,Most prevalent globally; IBS association,0.02405015684749689,False,
KR262935.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
KR262934.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,110,250,accepted,True,Most prevalent globally; IBS association,0.02405015684749689,False,
KR262933.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,52,93,198,accepted,True,Common in humans; urticaria association,0.008670616800806979,False,
KR262932.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,106,220,accepted,True,Most prevalent globally; IBS association,0.03327158449027497,False,
KR262931.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,227,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
KR262930.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
KR262929.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.028134578106093912,False,
KR262928.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
KR262927.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,106,218,accepted,True,Most prevalent globally; IBS association,0.0353362795313288,False,
KR262926.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,106,218,accepted,True,Most prevalent globally; IBS association,0.0353362795313288,False,
KR262925.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.02711138558723332,False,
KR262924.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
KR262923.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
KR262921.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,107,232,accepted,True,Most prevalent globally; IBS association,0.03327158449027497,False,
KR262920.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,108,242,accepted,True,Most prevalent globally; IBS association,0.005952412196802228,False,
KR262919.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,106,221,accepted,True,Most prevalent globally; IBS association,0.03948280011406652,False,
KR262918.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
KR262915.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.02711138558723332,False,
KR262914.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,113,254,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
KR262913.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,111,251,accepted,True,Most prevalent globally; IBS association,0.03637076245395787,False,
KR262912.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,111,252,accepted,True,Most prevalent globally; IBS association,0.03740667422085674,False,
KR262911.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,107,231,accepted,True,Most prevalent globally; IBS association,0.03121255780238037,False,
KR262909.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,112,253,accepted,True,Most prevalent globally; IBS association,0.03740667422085674,False,
KR262908.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,52,93,195,accepted,True,Common in humans; urticaria association,0.011166459370312978,False,
KR262907.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,107,233,accepted,True,Most prevalent globally; IBS association,0.03430322151675744,False,
KR262906.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,56,101,209,accepted,True,Common in humans; urticaria association,0.03788684260267638,True,minority cluster (101)
KR262905.1,ST2,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.006183052331311549,False,
KR262904.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
KR262902.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.027138639154425437,False,
KR262901.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,107,236,accepted,True,Most prevalent globally; IBS association,0.03433787166912239,False,
KR262900.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,227,accepted,True,Most prevalent globally; IBS association,0.02201625729593479,False,
KR262899.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,229,accepted,True,Most prevalent globally; IBS association,0.02303251761402947,False,
KR262898.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,106,216,accepted,True,Most prevalent globally; IBS association,0.03121255780238037,False,
KR262897.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,low,2840,59,106,219,accepted,True,Most prevalent globally; IBS association,0.04052302219482808,False,
KR262896.1,ST1,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,medium,2840,59,107,230,accepted,True,Most prevalent globally; IBS association,0.02711138558723332,False,
KU051536.1,ST3,Homo sapiens,Unknown,Thailand,Unknown,Unknown,PacBio,medium,2840,38,59,96,accepted,True,Most prevalent globally; IBS-D association,0.012815348108306878,False,
KU051535.1,ST3,Homo sapiens,Unknown,Thailand,Unknown,Unknown,PacBio,medium,2840,38,59,91,accepted,True,Most prevalent globally; IBS-D association,0.01155350189623985,False,
KU051534.1,ST3,Homo sapiens,Unknown,Thailand,Unknown,Unknown,PacBio,medium,2840,38,59,91,accepted,True,Most prevalent globally; IBS-D association,0.010247811014029884,False,
KU051533.1,ST6,Homo sapiens,Unknown,Thailand,Unknown,Unknown,PacBio,medium,2840,12,12,16,accepted,True,Primarily birds/poultry,0.0030241976459538383,False,
KU051532.1,ST3,Homo sapiens,Unknown,Thailand,Unknown,Unknown,PacBio,medium,2840,38,59,89,accepted,True,Most prevalent globally; IBS-D association,0.008970632361169791,False,
KU051531.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,PacBio,low,2840,38,59,92,accepted,True,Most prevalent globally; IBS-D association,0.009856404688564004,False,
KU051530.1,ST3,Homo sapiens,Unknown,Thailand,Unknown,Unknown,PacBio,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.0076531276306813015,False,
KU051528.1,ST3,Homo sapiens,Unknown,Thailand,Unknown,Unknown,PacBio,medium,2840,38,59,94,accepted,True,Most prevalent globally; IBS-D association,0.012798945415640237,False,
KU051527.1,ST3,Homo sapiens,Unknown,Thailand,Unknown,Unknown,PacBio,medium,2840,38,59,105,accepted,True,Most prevalent globally; IBS-D association,0.011494477858670115,False,
KU051526.1,ST2,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,PacBio,low,2840,52,92,192,accepted,True,Common in humans; urticaria association,0.013069637660762076,True,minority cluster (92)
KT819622.1,ST3,Homo sapiens,Unknown,Thailand,Unknown,stool,PacBio,medium,2840,38,59,99,accepted,True,Most prevalent globally; IBS-D association,0.010195569072872388,False,
KT819620.1,ST3,Homo sapiens,host_qualifier,Thailand,Unknown,stool,PacBio,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.007633653686817114,False,
KT819619.1,ST12,Unknown,unknown,Thailand,Unknown,water,PacBio,low,2840,46,79,155,accepted,True,Non-human primates; occasional in humans,0.010560174462019983,False,
KT819616.1,ST12,Unknown,unknown,Thailand,Unknown,water,PacBio,low,2840,46,77,133,accepted,True,Non-human primates; occasional in humans,0.031264702558869005,True,minority cluster (77)
KT819615.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.004006687325415391,False,
KT819614.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,144,accepted,True,Non-human primates; occasional in humans,0.005741654835996179,False,
KT819613.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,145,accepted,True,Non-human primates; occasional in humans,0.0086373315461693,False,
KT819612.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.004809250207596234,False,
KT819611.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,154,accepted,True,Non-human primates; occasional in humans,0.00959399075351956,False,
