accession,length,host,definition,note,isolation_source,host_raw,ref_titles,record_categories,record_evidence,study_categories,study_evidence,subtype,st_source
MZ396368.1,400,Homo sapiens,"UNVERIFIED_ORG: Blastocystis sp. isolate 196 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,"Epidemiological and molecular characterization of Blastocystis infection in children attending daycare centers in Medellin, Colombia; Direct Submission",,,,,,
MZ396367.1,400,Homo sapiens,"UNVERIFIED_ORG: Blastocystis sp. isolate 141 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,"Epidemiological and molecular characterization of Blastocystis infection in children attending daycare centers in Medellin, Colombia; Direct Submission",,,,,,
MW767066.1,614,Sus scrofa,"UNVERIFIED_ORG: Blastocystis sp. isolate 4239.st3 small subunit ribosomal RNA gene, partial sequence",,feces,pig,Direct Submission,,,,,,
MW767065.1,610,Sus scrofa,"UNVERIFIED_ORG: Blastocystis sp. isolate 4238.st3 small subunit ribosomal RNA gene, partial sequence",,feces,pig,Direct Submission,,,,,,
MW767064.1,607,Sus scrofa,"UNVERIFIED_ORG: Blastocystis sp. isolate 4233.st3 small subunit ribosomal RNA gene, partial sequence",,feces,pig,Direct Submission,,,,,,
MW767063.1,609,Sus scrofa,"UNVERIFIED_ORG: Blastocystis sp. isolate 4208.st3 small subunit ribosomal RNA gene, partial sequence",,feces,pig,Direct Submission,,,,,,
MW404497.1,489,Cervus nippon,"UNVERIFIED_ORG: Blastocystis sp. subtype 3 isolate WL2 10 small subunit ribosomal RNA gene, partial sequence",,,Cervus nippon,Prevalence and subtypes of Blastocystis sp. infection in Non-captive wild animals in three Areas of Wolong Nature Reserve in China; Direct Submission,,,,,,
MW331652.1,577,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate SBN9-2 small subunit ribosomal RNA gene, partial sequence",breed: dariy cattle,feces,cattle,Direct Submission,,,,,,
MW306043.1,455,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate Izmir stray cat isolate 7 small subunit ribosomal RNA gene, partial sequence",,,,Direct Submission,,,,,,
MW305246.1,459,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate Izmir stray cat isolate 1 small subunit ribosomal RNA gene, partial sequence",,,,Direct Submission,,,,,,
MW242639.1,496,red-bellied tree squirrel,"UNVERIFIED_ORG: Blastocystis sp. subtype 3 isolate SCRS42 small subunit ribosomal RNA gene, partial sequence",,fece,red-bellied tree squirrel,First report of Blastocystis infections in red-bellied tree squirrels (Callosciurus erythraeus) in China; Direct Submission,,,,,,
MW242638.1,549,red-bellied tree squirrel,"UNVERIFIED_ORG: Blastocystis sp. subtype 1 isolate SCRS118 small subunit ribosomal RNA gene, partial sequence",,fece,red-bellied tree squirrel,First report of Blastocystis infections in red-bellied tree squirrels (Callosciurus erythraeus) in China; Direct Submission,,,,,,
MT661552.1,538,Northern Raccoon,"UNVERIFIED_ORG: Blastocystis sp. isolate Northern-Raccoon-170 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Northern Raccoon,Direct Submission,,,,,,
MT645672.1,605,Homo sapiens,"UNVERIFIED_ORG: Blastocystis sp. strain UnknownST small subunit ribosomal RNA gene, partial sequence",,stool sample,Homo sapiens,Genetic diversity of Blastocystis isolated from symptomatic and asymptomatic individuals in China; Direct Submission,,,healthy_control,healthy_control=asymptomatic,,
MT039583.1,595,Homo sapiens,"UNVERIFIED_ORG: Blastocystis hominis isolate B390_4 small subunit ribosomal RNA gene, partial sequence",subtype: ST8,Dolni Brezany,Homo sapiens,Direct Submission,,,,,,
MT039582.1,595,Homo sapiens,"UNVERIFIED_ORG: Blastocystis hominis isolate B390_3 small subunit ribosomal RNA gene, partial sequence",subtype: ST8,Dolni Brezany,Homo sapiens,Direct Submission,,,,,,
MN696799.1,617,Canis lupus familiaris,"UNVERIFIED_ORG: Blastocystis sp. isolate L33 small subunit ribosomal RNA gene, partial sequence",,,dog,Direct Submission,,,,,,
MN696798.1,617,Canis lupus familiaris,"UNVERIFIED_ORG: Blastocystis sp. isolate L31 small subunit ribosomal RNA gene, partial sequence",,,dog,Direct Submission,,,,,,
MN585840.1,622,Homo sapiens,"UNVERIFIED_ORG: Blastocystis sp. isolate 1085 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Direct Submission,,,,,,
MN339604.1,581,Canis lupus familiaris,"UNVERIFIED_ORG: Blastocystis sp. isolate Y93 small subunit ribosomal RNA gene, partial sequence",,,dog,Direct Submission,,,,,,
MK782522.1,592,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate 47UC_ST1 small subunit ribosomal RNA gene, partial sequence",,,,Blastocystis spp. isolated from urticaria patients; Direct Submission,,,urticaria_skin,urticaria_skin=urticaria,,
MK782521.1,617,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate 46UC_ST1 small subunit ribosomal RNA gene, partial sequence",,,,Blastocystis spp. isolated from urticaria patients; Direct Submission,,,urticaria_skin,urticaria_skin=urticaria,,
MK782518.1,581,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate 40UC_ST3 small subunit ribosomal RNA gene, partial sequence",,,,Blastocystis spp. isolated from urticaria patients; Direct Submission,,,urticaria_skin,urticaria_skin=urticaria,,
MK782515.1,603,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate 26UC_R_ST4 small subunit ribosomal RNA gene, partial sequence",,,,Blastocystis spp. isolated from urticaria patients; Direct Submission,,,urticaria_skin,urticaria_skin=urticaria,,
MK782512.1,633,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate 25UC_B_ST1 small subunit ribosomal RNA gene, partial sequence",,,,Blastocystis spp. isolated from urticaria patients; Direct Submission,,,urticaria_skin,urticaria_skin=urticaria,,
MK782501.1,616,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate 9UC_ST1 small subunit ribosomal RNA gene, partial sequence",,,,Blastocystis spp. isolated from urticaria patients; Direct Submission,,,urticaria_skin,urticaria_skin=urticaria,,
MK511789.1,618,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate C8_MELOGB small subunit ribosomal RNA gene, partial sequence",,,,Direct Submission,,,,,,
MK511788.1,617,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate C7_MELOGB small subunit ribosomal RNA gene, partial sequence",,,,Direct Submission,,,,,,
PZ726877.1,1694,Castor fiber,"Blastocystis sp. clone Blasto_c2 small subunit ribosomal RNA gene, partial sequence",,,Castor fiber,Gut protist diversity in Eurasian beavers (Castor fiber) revealed by metabarcoding; Direct Submission,,,,,novel_10,curated_fulllength
PZ726876.1,1745,Castor fiber,"Blastocystis sp. clone Blasto_c1 small subunit ribosomal RNA gene, partial sequence",,,Castor fiber,Gut protist diversity in Eurasian beavers (Castor fiber) revealed by metabarcoding; Direct Submission,,,,,novel_10,curated_fulllength
PZ742591.1,610,Homo sapiens,"Blastocystis sp. isolate CBS100 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Molecular characterization of Blastocystis sp. in immunosuppressed patients; Direct Submission,,,immunocompromised,immunocompromised=immunosuppress,ST2,barcode_mapping
PZ742590.1,614,Homo sapiens,"Blastocystis sp. isolate CBS9 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Molecular characterization of Blastocystis sp. in immunosuppressed patients; Direct Submission,,,immunocompromised,immunocompromised=immunosuppress,ST1,barcode_mapping
PZ742589.1,607,Homo sapiens,"Blastocystis sp. isolate CBS8 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Molecular characterization of Blastocystis sp. in immunosuppressed patients; Direct Submission,,,immunocompromised,immunocompromised=immunosuppress,ST3,barcode_mapping
PZ742588.1,609,Homo sapiens,"Blastocystis sp. isolate CBS12 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Molecular characterization of Blastocystis sp. in immunosuppressed patients; Direct Submission,,,immunocompromised,immunocompromised=immunosuppress,ST2,barcode_mapping
PZ742587.1,609,Homo sapiens,"Blastocystis sp. isolate CBS10 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Molecular characterization of Blastocystis sp. in immunosuppressed patients; Direct Submission,,,immunocompromised,immunocompromised=immunosuppress,ST2,barcode_mapping
PZ742586.1,611,Homo sapiens,"Blastocystis sp. isolate CBS1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Molecular characterization of Blastocystis sp. in immunosuppressed patients; Direct Submission,,,immunocompromised,immunocompromised=immunosuppress,ST1,barcode_mapping
PZ742585.1,610,Homo sapiens,"Blastocystis sp. isolate CBS90 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Molecular characterization of Blastocystis sp. in immunosuppressed patients; Direct Submission,,,immunocompromised,immunocompromised=immunosuppress,ST3,barcode_mapping
PZ742584.1,610,Homo sapiens,"Blastocystis sp. isolate CBS64 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Molecular characterization of Blastocystis sp. in immunosuppressed patients; Direct Submission,,,immunocompromised,immunocompromised=immunosuppress,ST3,barcode_mapping
PZ742583.1,611,Homo sapiens,"Blastocystis sp. isolate CBS15 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Molecular characterization of Blastocystis sp. in immunosuppressed patients; Direct Submission,,,immunocompromised,immunocompromised=immunosuppress,ST1,barcode_mapping
PZ742582.1,611,Homo sapiens,"Blastocystis sp. isolate CBS63 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Molecular characterization of Blastocystis sp. in immunosuppressed patients; Direct Submission,,,immunocompromised,immunocompromised=immunosuppress,ST1,barcode_mapping
PV866661.1,302,Oyster,"Blastocystis sp. isolate 3H24B small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866660.1,302,Oyster,"Blastocystis sp. isolate 3H22B small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866659.1,302,Oyster,"Blastocystis sp. isolate 3H16B small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866658.1,302,Oyster,"Blastocystis sp. isolate 3H13B small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866657.1,302,Oyster,"Blastocystis sp. isolate 3H11B small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866656.1,302,Oyster,"Blastocystis sp. isolate 3H8B small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866655.1,302,Oyster,"Blastocystis sp. isolate 3H40T small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866654.1,302,Oyster,"Blastocystis sp. isolate 3H38T small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866653.1,302,Oyster,"Blastocystis sp. isolate 3H35T small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866652.1,286,Oyster,"Blastocystis sp. isolate 1H37B small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST3,barcode_mapping
PV866651.1,293,Oyster,"Blastocystis sp. isolate 1H35B small subunit ribosomal RNA gene, partial sequence",subtype: ST4,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST4,barcode_mapping
PV866650.1,299,Oyster,"Blastocystis sp. isolate 1H28B small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866649.1,286,Oyster,"Blastocystis sp. isolate 1H13B small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST3,barcode_mapping
PV866648.1,286,Oyster,"Blastocystis sp. isolate 1H30T small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST3,barcode_mapping
PV866647.1,302,Oyster,"Blastocystis sp. isolate 1H25T small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866646.1,286,Oyster,"Blastocystis sp. isolate 1H19T small subunit ribosomal RNA gene, partial sequence",subtype: ST3,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST3,barcode_mapping
PV866645.1,299,Mesoplancton,"Blastocystis sp. isolate P8A3 small subunit ribosomal RNA gene, partial sequence",subtype: ST7,,Mesoplancton,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST7,barcode_mapping
PV866644.1,293,Oyster,"Blastocystis sp. isolate 2114522 small subunit ribosomal RNA gene, partial sequence",subtype: ST44,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST44,barcode_mapping
PV866643.1,293,Oyster,"Blastocystis sp. isolate 2114223 small subunit ribosomal RNA gene, partial sequence",subtype: ST4,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST4,barcode_mapping
PV866642.1,293,Oyster,"Blastocystis sp. isolate 2105111 small subunit ribosomal RNA gene, partial sequence",subtype: ST4,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST4,barcode_mapping
PV866641.1,296,Oyster,"Blastocystis sp. isolate 2105110 small subunit ribosomal RNA gene, partial sequence",subtype: ST26,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST26,barcode_mapping
PV866640.1,293,Oyster,"Blastocystis sp. isolate 2105109 small subunit ribosomal RNA gene, partial sequence",subtype: ST4,,Oyster,"Prevalence and genetic diversity of Blastocystis sp. in oysters, France, and evaluation of the risk of zoonotic transmission; Direct Submission",,,,,ST4,barcode_mapping
PZ713486.1,481,Cercopithecus mitis,"Blastocystis sp. isolate BWP_Bl43 small subunit ribosomal RNA gene, partial sequence",ST2,feces,Cercopithecus mitis,"Molecular identification and subtype analysis of Blastocystis sp. from captive non-human primates in Beijing Wildlife Park, China; Direct Submission",,,,,ST2,barcode_mapping
PZ713485.1,481,Rhinopithecus roxellana,"Blastocystis sp. isolate BWP_Bl37 small subunit ribosomal RNA gene, partial sequence",ST2,feces,Rhinopithecus roxellana,"Molecular identification and subtype analysis of Blastocystis sp. from captive non-human primates in Beijing Wildlife Park, China; Direct Submission",,,,,ST2,barcode_mapping
PZ713484.1,485,Lemur catta,"Blastocystis sp. isolate BWP_Bl36 small subunit ribosomal RNA gene, partial sequence",ST2,feces,Lemur catta,"Molecular identification and subtype analysis of Blastocystis sp. from captive non-human primates in Beijing Wildlife Park, China; Direct Submission",,,,,ST3,barcode_mapping
